Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_opcion;opcion;votos_opcion
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;OVALLE;44772;EN CONTRA;44.772
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;OVALLE;0;VOTOS EN BLANCO;1.423
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;OVALLE;0;VOTOS NULOS;3.469
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PAIHUANO;1851;A FAVOR;1.851
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PAIHUANO;2296;EN CONTRA;2.296
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PAIHUANO;0;VOTOS EN BLANCO;87
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PAIHUANO;0;VOTOS NULOS;170
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PUNITAQUI;3555;A FAVOR;3.555
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PUNITAQUI;5182;EN CONTRA;5.182
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PUNITAQUI;0;VOTOS EN BLANCO;188
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;PUNITAQUI;0;VOTOS NULOS;455
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;RIO HURTADO;1766;A FAVOR;1.766
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;RIO HURTADO;1896;EN CONTRA;1.896
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;RIO HURTADO;0;VOTOS EN BLANCO;85
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;RIO HURTADO;0;VOTOS NULOS;200
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;SALAMANCA;7442;A FAVOR;7.442
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;SALAMANCA;11925;EN CONTRA;11.925
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;SALAMANCA;0;VOTOS EN BLANCO;437
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;SALAMANCA;0;VOTOS NULOS;939
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;VICUÑA;8016;A FAVOR;8.016
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;VICUÑA;11872;EN CONTRA;11.872
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;VICUÑA;0;VOTOS EN BLANCO;389
4;CIRCUNSCRIPCION SENATORIAL 5;DISTRITO 5;DE COQUIMBO;VICUÑA;0;VOTOS NULOS;1.038
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CABILDO;5475;A FAVOR;5.475
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CABILDO;9659;EN CONTRA;9.659
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CABILDO;0;VOTOS EN BLANCO;274
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CABILDO;0;VOTOS NULOS;639
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALERA;13770;A FAVOR;13.770
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALERA;23379;EN CONTRA;23.379
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALERA;0;VOTOS EN BLANCO;517
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALERA;0;VOTOS NULOS;1.570
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALLE LARGA;4120;A FAVOR;4.120
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALLE LARGA;6490;EN CONTRA;6.490
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALLE LARGA;0;VOTOS EN BLANCO;115
5;CIRCUNSCRIPCION SENATORIAL 6;DISTRITO 6;DE VALPARAISO;CALLE LARGA;0;VOTOS NULOS;347
