Codigo_region;Circunscripción_senatorial;Distrito;region;comuna;votos_validos_candidato;candidato;votos_candidato
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;1656;FRANCO ALDO PARISI FERNANDEZ;1656
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;0;VOTOS EN BLANCO;15
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;MEJILLONES;0;VOTOS NULOS;30
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;29;GABRIEL BORIC FONT;29
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;53;JOSE ANTONIO KAST RIST;53
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;25;YASNA PROVOSTE CAMPILLAY;25
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;12;SEBASTIAN SICHEL RAMIREZ;12
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;3;EDUARDO ARTES BRICHETTI;3
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;27;MARCO ENRIQUEZ-OMINAMI GUMUCIO;27
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;220;FRANCO ALDO PARISI FERNANDEZ;220
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;0;VOTOS EN BLANCO;1
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;OLLAGUE;0;VOTOS NULOS;2
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;849;GABRIEL BORIC FONT;849
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;453;JOSE ANTONIO KAST RIST;453
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;370;YASNA PROVOSTE CAMPILLAY;370
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;187;SEBASTIAN SICHEL RAMIREZ;187
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;66;EDUARDO ARTES BRICHETTI;66
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;215;MARCO ENRIQUEZ-OMINAMI GUMUCIO;215
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;1103;FRANCO ALDO PARISI FERNANDEZ;1103
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;0;VOTOS EN BLANCO;25
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SAN PEDRO DE ATACAMA;0;VOTOS NULOS;42
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;102;GABRIEL BORIC FONT;102
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;132;JOSE ANTONIO KAST RIST;132
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;79;YASNA PROVOSTE CAMPILLAY;79
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;27;SEBASTIAN SICHEL RAMIREZ;27
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;5;EDUARDO ARTES BRICHETTI;5
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;61;MARCO ENRIQUEZ-OMINAMI GUMUCIO;61
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;234;FRANCO ALDO PARISI FERNANDEZ;234
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;0;VOTOS EN BLANCO;0
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;SIERRA GORDA;0;VOTOS NULOS;4
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;851;GABRIEL BORIC FONT;851
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;720;JOSE ANTONIO KAST RIST;720
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;602;YASNA PROVOSTE CAMPILLAY;602
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;188;SEBASTIAN SICHEL RAMIREZ;188
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;56;EDUARDO ARTES BRICHETTI;56
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;273;MARCO ENRIQUEZ-OMINAMI GUMUCIO;273
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;906;FRANCO ALDO PARISI FERNANDEZ;906
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;0;VOTOS EN BLANCO;22
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TALTAL;0;VOTOS NULOS;33
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;1508;GABRIEL BORIC FONT;1508
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;1189;JOSE ANTONIO KAST RIST;1189
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;913;YASNA PROVOSTE CAMPILLAY;913
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;477;SEBASTIAN SICHEL RAMIREZ;477
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;105;EDUARDO ARTES BRICHETTI;105
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;651;MARCO ENRIQUEZ-OMINAMI GUMUCIO;651
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;3444;FRANCO ALDO PARISI FERNANDEZ;3444
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;0;VOTOS EN BLANCO;34
2;CIRCUNSCRIPCION SENATORIAL 3;DISTRITO 3;DE ANTOFAGASTA;TOCOPILLA;0;VOTOS NULOS;77
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;260;GABRIEL BORIC FONT;260
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;265;JOSE ANTONIO KAST RIST;265
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;891;YASNA PROVOSTE CAMPILLAY;891
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;87;SEBASTIAN SICHEL RAMIREZ;87
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;11;EDUARDO ARTES BRICHETTI;11
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;56;MARCO ENRIQUEZ-OMINAMI GUMUCIO;56
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;365;FRANCO ALDO PARISI FERNANDEZ;365
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;0;VOTOS EN BLANCO;14
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;ALTO DEL CARMEN;0;VOTOS NULOS;15
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;1516;GABRIEL BORIC FONT;1516
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;1263;JOSE ANTONIO KAST RIST;1263
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;1680;YASNA PROVOSTE CAMPILLAY;1680
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;440;SEBASTIAN SICHEL RAMIREZ;440
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;105;EDUARDO ARTES BRICHETTI;105
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;458;MARCO ENRIQUEZ-OMINAMI GUMUCIO;458
3;CIRCUNSCRIPCION SENATORIAL 4;DISTRITO 4;DE ATACAMA;CALDERA;1741;FRANCO ALDO PARISI FERNANDEZ;1741
